0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Data period: 20250526_075851-20250526_132332
Timestamp	Time [s]	Setpoint	t_liq_in [C]	t_liq_out [C]	t_air_in_pt100 [C]	t_air_out_pt100 [C]	t_air_fan_pt100 [C]	flow_liq [L/min]	dP_air [Pa]	dp_liq [mbar]	p_atm [mbar]	rh_air [%]	dP_nozzle [Pa]	t_air_in [C]	t_air_out [C]	T_5 [K]	P_atm [Pa]	P_s5 [Pa]	P_s6 [Pa]	dT_air [K]	dT_liq [K]	alpha	beta	gamma	Y_squared	Y	rho_5 [kg/m3]	n_nozzle	C_nozzle	A_nozzle [m2]	Q [m3/s]
20250526_075853.891	3E-07	1	66.771	56.689	11.983	48.749	20.099	124.89090479254	89.5747996745488	65.735894743725	994.722891907603	18.6559135844165	324.060222161494																		
20250526_075854.885	1.0000967	1	66.777	56.735	11.958	48.756	20.121	125.511495438619	89.7412432783482	65.6733949022488	994.711795476401	18.6560597888269	324.752712363236																		
20250526_075855.887	2.0014477	1	66.826	56.773	11.974	48.796	20.141	124.653128018815	90.9763247707482	65.7983320853616	994.695150830042	18.5593712558717	327.716461427528																		
20250526_075856.889	3.0018779	1	66.867	56.81	11.952	48.815	20.174	125.133565932537	91.184504224917	65.8052695677659	994.695150830042	18.5592250514612	327.96574725265																		
20250526_075857.892	4.0019959	1	66.919	56.842	11.924	48.85	20.2	125.672569677895	91.5036460748842	65.5415202367414	994.733988339042	18.5593712558717	327.938062686181																		
20250526_075858.884	5.0020764	1	66.962	56.879	11.912	48.871	20.216	126.14253671962	92.2947529742297	65.6942698493017	994.703473153155	18.5593712558717	330.984857856044																		
20250526_075859.886	6.0022035	1	67.026	56.905	11.879	48.892	20.238	126.051194330606	93.071864599511	65.735894743725	994.709021368637	18.3500473719671	332.286652247729																		
20250526_075900.888	7.0022857	1	67.081	56.922	11.988	48.972	20.28	124.733320441699	92.7109869084333	65.6248325254236	994.711795476401	18.3499011675566	332.868400150275																		
20250526_075901.890	8.0024147	1	67.118	56.957	11.923	49.002	20.268	124.766089314821	92.3224935728161	65.2222710465366	994.717343691972	18.3499011675566	331.788082237218																		
20250526_075902.893	9.0024771	1	67.159	56.966	11.931	49.012	20.316	125.461987699059	92.0310923289338	65.5137703071285	994.706247260888	18.3500473719671	330.763257126565																		
20250526_075903.885	10.0025533	1	67.223	57.003	11.898	49.036	20.321	126.049800460753	92.2808826749281	65.631770007827	994.678481192257	18.238876699436	329.710746664748																		
20250526_075904.888	11.0027297	1	67.272	57.029	11.837	49.047	20.322	125.211660918303	91.9200049759055	65.3957706064374	994.681255299857	18.2372671337642	327.827199709031																		
20250526_075905.890	12.002795	1	67.321	57.072	11.833	49.082	20.339	125.137050635166	91.8090425801875	65.3055208353632	994.74233565474	18.2368285205328	327.924220402721																		
20250526_075906.892	13.0031273	1	67.376	57.113	11.833	49.113	20.35	124.51576100478	91.1983745246419	65.3333332648143	994.736787438902	18.2368285205328	326.982445953758																		
20250526_075907.885	14.003171	1	67.434	57.165	11.814	49.146	20.355	125.365062972767	90.726534415684	65.3055208353632	994.722891907603	18.2366823161224	325.957616983132																		
20250526_075908.887	15.003274	1	67.466	57.196	11.826	49.18	20.371	125.110554335026	90.1576021997933	65.4096455712429	994.711795476401	18.0279445670164	323.603175928344																		
20250526_075909.890	16.0033481	1	67.524	57.257	11.844	49.229	20.375	125.382499006894	90.587831416374	65.3333332648143	994.72011779978	18.027798362606	324.032537510283																		
20250526_075910.892	17.0034936	1	67.581	57.323	11.837	49.261	20.371	125.165637750183	90.8931029718048	65.3263957824119	994.711795476401	18.0273584322178	324.960471821024																		
20250526_075911.895	18.0035535	1	67.625	57.378	11.804	49.287	20.365	125.669078712935	90.3519113586605	65.2985833529609	994.722891907603	18.0269198189864	323.824777901398																		
20250526_075912.888	19.0036983	1	67.677	57.418	11.798	49.319	20.382	124.256359290661	89.7968494371045	64.9515842331936	994.700699045436	17.9303774904416	322.065928092297																		
20250526_075913.895	20.0038463	1	67.738	57.45	11.736	49.34	20.379	125.057561716255	89.1584407463498	65.0903963810612	994.72011779978	17.9303774904416	320.597890221109																		
20250526_075914.895	21.0040695	1	67.764	57.496	11.832	49.401	20.424	125.680932924451	89.4082311123161	65.2361460113409	994.73121423116	17.9302312860312	320.431781854082																		
20250526_075915.895	22.0042457	1	67.816	57.556	11.851	49.447	20.456	126.046309507354	90.4767440588832	65.0626464514549	994.745109762682	17.9305236948521	323.894114245219																		
20250526_075916.895	23.0043808	1	67.862	57.611	11.809	49.47	20.454	124.500421950012	92.4750668646614	65.1181463106673	994.736787438902	17.8175972522387	332.743695370349																		
20250526_075917.895	24.0045049	1	67.911	57.672	11.842	49.51	20.485	125.460593821996	94.5567363075859	64.6738974376484	994.717343691972	17.8174510478282	343.504425978252																		
20250526_075918.891	25.0046011	1	67.958	57.703	11.866	49.545	20.506	125.376220276872	97.137861298452	64.7086473494902	994.745109762682	17.8178896610596	355.317680739705																		
20250526_075919.896	26.0046596	1	68.018	57.729	11.852	49.567	20.513	125.707429091918	99.6218940287269	64.8057721030944	994.706247260888	17.81803586547	366.854113629602																		
20250526_075920.894	27.0048153	1	68.068	57.738	11.845	49.59	20.515	125.442460861178	100.912456365395	64.9098968389462	994.711795476401	17.7211945423201	373.930776705854																		
20250526_075921.892	28.0048881	1	68.128	57.724	11.813	49.599	20.513	124.25147439044	101.564735143016	64.7988346206942	994.73121423116	17.7211945423201	378.390068103308																		
